"FLO8"	"RAS2"	"TEC1"	"PHD1"	"ACE2"	"SWI5"	"SOK2"	"RME1"	"IME1"	"GPA2"	"MEP2"	"IME2"	"CLN2"	"ASH1"	"MUC1"
"YP.ethanol.vs.reference.pool.car.2"	0.25	-0.69	-0.84	1.36	0.25	-0.22	-0.21	0.03	0.46	1.53	0.32	0.07	-0.81	0.28	0
"YP.fructose.vs.reference.pool.car.2"	-0.49	-0.25	-0.08	-0.79	0.1	-0.17	0.13	-0.42	0.14	-0.32	0.1	0	0.34	-0.2	-0.26
"YP.galactose.vs.reference.pool.car.2"	-0.62	0.58	-0.11	-0.17	-0.08	-0.12	0.05	-0.94	-0.45	0.58	0.58	0.26	0.07	-0.43	-0.5
"YP.glucose.vs.reference.pool.car.2"	0.26	-0.12	-0.58	-0.79	0.37	-0.06	0.15	0.08	-0.81	-0.45	-0.17	-0.23	0.18	-0.4	-0.29
"YP.mannose.vs.reference.pool.car.2"	-0.04	-0.45	0.48	-0.51	-0.04	0.37	0.49	-0.47	-0.04	-0.62	0.41	0	-0.64	-0.64	0.66
"YP.raffinose.vs.reference.pool.car.2"	0.18	0.15	0	0.94	-0.69	0.62	0.07	0.08	-0.47	-0.03	0.43	-0.71	-0.2	-0.07	-0.8
"YP.sucrose.vs.reference.pool.car.2"	-0.64	-0.38	0.4	-0.51	0.22	-0.38	-0.26	0.06	-0.15	-0.43	0.11	0.36	-0.12	0.16	-0.21
"X17.deg.growth.ct.1"	-0.42	-0.07	-0.56	1.49	-0.65	-0.342547058823529	0.02	-1.18	-1.36	-0.01	0.07	-0.23	-0.09	-0.01	-0.89
"X21.deg.growth.ct.1"	-0.22	0.23	-0.49	1.59	-0.72	0.11	0.1	-1	-1.15	-0.23	-0.18	-0.49	-0.14	-0.2	0.23
"X25.deg.growth.ct.1"	-0.22	0.38	-0.56	1.51	-0.68	0.1	0.32	-0.69	-0.89	-0.17	-0.32	-0.45	0.08	-0.29	-0.34
"X29.deg.growth.ct.1"	-0.17	0.04	0.03	0.28	0.24	-0.06	0.29	-0.17	-0.54	-0.14	-0.03	-0.43	0.42	-0.14	-0.89
"X37.deg.growth.ct.1"	-0.15	-0.22	-0.29	0.84	0.08	-0.2	0.14	0.55	-0.09	-0.17	0.12	-0.4	-0.09	-0.09	0
"steady.state.15.dec.C.ct.2"	-0.06	-0.18	-0.51	0.99	-0.31	0.08	0.04	-0.43	-1.36	0.49	0.58	0.120327380952381	0.17	-0.12	-0.82
"steady.state.17.dec.C.ct.2"	-0.54	0.51	0.071045751633987	0.78	-0.41	-0.23	-0.56	-0.47	-1.06	-0.22	0.08	-0.34	-0.22	-0.58	0.83
"steady.state.21.dec.C.ct.2"	-0.14	0.2	0.3	0.26	-0.26	0.2	0.04	-0.38	-0.56	-0.45	-0.45	-0.18	0.02	0.43	-0.8
"steady.state.25.dec.C.ct.2"	-0.47	-0.09	0.03	-0.18	-0.33	0	0.32	-0.42	-0.36	0.1	-0.42	-0.03	0.3	-0.06	-0.29
"steady.state.29.dec.C.ct.2"	-0.29	-0.12	0.26	-0.6	-0.94	-0.01	0.06	-0.04	-0.07	0.08	0	-0.04	0.39	-0.07	-0.16
"steady.state.33.dec.C.ct.2"	0.18	-0.07	0.58	-0.34	-0.38	0.32	0.38	0.28	0.21	0.26	-0.14	-0.07	0.42	0.15	-1.92
"steady.state.36.dec.C.ct.2"	-0.12	0.07	0.071045751633987	0.41	-0.36	-0.07	-0.13	0.93	0.48	0.18	0.29	-0.07	0.12	0.12	0.17
"steady.state.36.dec.C.ct.2..repeat.hyb."	-0.23	-0.0572176470588235	0.071045751633987	0.36	-0.07	-0.38	0.44	0.52	0.44	0.3	0.15	0.14	0.16	-0.14	-0.06
